strategy,task,latency_ms,success,out
local,echo,0,True,
score=1.000,echo,0,1/1,
local,cpu_spin,24,True,
score=1.000,cpu_spin,24,1/1,
local,mem_alloc,3,True,
score=1.000,mem_alloc,3,1/1,
local,disk_io,0,True,
score=1.000,disk_io,0,1/1,
